HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.headline,Input.details,Answer.web_url,Approve,Reject
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,388U7OUMF70BBAYVUUWFRC3EMEBR0K,A2NQT50GA2G1B0,Approved,Thu Apr 16 15:43:15 PDT 2015,Thu Apr 16 15:43:44 PDT 2015,Thu Apr 16 15:53:44 PDT 2015,2015-04-16 22:58:09 UTC,,,29,100% (15/15),100% (15/15),100% (15/15),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù",That just wrong.|Good thing I not married.|What world coming to?,,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,39L1G8WVWQQJZXYBFNZJNJJ8LS7311,A2TF2FFPDAJ4HA,Approved,Thu Apr 16 16:48:56 PDT 2015,Thu Apr 16 16:51:03 PDT 2015,Thu Apr 16 17:01:03 PDT 2015,2015-04-17 00:03:08 UTC,,,127,100% (7/7),100% (7/7),100% (7/7),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù","interested, |not surprised with everyone turning to facebook|It makes since if there is no other way.",,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3CFVK00FWLKVMNPXRZF0E146TP6L6N,A2AFTOA85C1FM9,Approved,Thu Apr 16 15:19:20 PDT 2015,Thu Apr 16 15:20:12 PDT 2015,Thu Apr 16 15:30:12 PDT 2015,2015-04-16 22:33:08 UTC,,,52,100% (15/15),100% (15/15),100% (15/15),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù","Thats just wrong!!|Bad way to let someone know you divorcing them.|This why I dont use Facebook, it nothing but a joke",,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3FE7TXL1LIMIVJM9W2BT5AMONQQQ2Z,A2BA9Y6VGW6WS1,Approved,Thu Apr 16 15:07:21 PDT 2015,Thu Apr 16 15:27:42 PDT 2015,Thu Apr 16 15:37:42 PDT 2015,2015-04-16 22:38:08 UTC,,,1221,100% (11/11),100% (11/11),100% (11/11),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù","Is this real, it can't be real. Disbelief is my first reaction. |This has to be satire, absolutely ridiculous. |After reading it, it makes complete sense. It's a form of correspondence, electronic notification is still transmitted information. Brilliant judge, fairly brave for this ruling.",,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3MMN5BL1WZ3GVMK089IH7B7BJ3YM3O,A1AQK667NBERJ1,Approved,Thu Apr 16 16:03:52 PDT 2015,Thu Apr 16 16:04:35 PDT 2015,Thu Apr 16 16:14:35 PDT 2015,2015-04-16 23:18:08 UTC,,,43,100% (5/5),100% (5/5),100% (5/5),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù","I believe that this is alright, as this is a good way to get his attention|However I'm skeptical to see this as a formal and legal way to do this. |Finally, you gotta do what you gotta do.",,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3NL0RFNU0FM6NU31NBAK237D8Y24KP,A38DANCR578BY1,Approved,Thu Apr 16 16:27:44 PDT 2015,Thu Apr 16 16:30:45 PDT 2015,Thu Apr 16 16:40:45 PDT 2015,2015-04-16 23:43:08 UTC,,,181,100% (14/14),100% (14/14),100% (14/14),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù","Sad, even the judiciary is losing a sense of propriety|Facebook will find a avenue to make money out of this.|This is what happens when judges are appointed based only on their political affiliations",,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3O6CYIULED0WZSRXRVK53IZ2UIZWU0,A2MAC1J8EF4D7Q,Approved,Thu Apr 16 16:41:06 PDT 2015,Thu Apr 16 17:11:02 PDT 2015,Thu Apr 16 17:21:02 PDT 2015,2015-04-17 00:23:08 UTC,,,1796,100% (1/1),100% (1/1),100% (1/1),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù","Well, I find this odd.|This is a ruling?  Is this judge even credible?|Even if there's no physical address, Facebook doesn't even qualify as a common carrier.  It's a commercial media website.",,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3QEMNNSB2XYVSBFAXSM412WXFRN7DR,AAXYYH9MI3PJM,Approved,Thu Apr 16 15:05:48 PDT 2015,Thu Apr 16 15:06:44 PDT 2015,Thu Apr 16 15:16:44 PDT 2015,2015-04-16 22:18:08 UTC,,,56,100% (15/15),100% (15/15),100% (15/15),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù",The fuck? This is ridiculous.|Amused. I guess it is alright to do that online.|Interesting way to do divorces now.,,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3R2PKQ87NW7VLP2JTCP4BH902LRMIK,A1C0H8G0YI15MN,Approved,Thu Apr 16 15:12:33 PDT 2015,Thu Apr 16 15:18:22 PDT 2015,Thu Apr 16 15:28:22 PDT 2015,2015-04-16 22:33:08 UTC,,,349,100% (13/13),100% (13/13),100% (13/13),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù",My emotion is calm because I know the story and the solution to the problem is quite pragmatic.| A Facebook post results in my being empathetic to the woman for her loss of privacy.|The judge is being modern and practical.  The other party in the divorce is being an obstinate and small person.,,
3R6RZGK0XEBYETD3LK7WVHRGN94VY1,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3VELCLL3GKIEF9E4ZI0LOS85OI41F0,AR7DGMRC1N0AV,Approved,Thu Apr 16 15:12:03 PDT 2015,Thu Apr 16 15:12:37 PDT 2015,Thu Apr 16 15:22:37 PDT 2015,2015-04-16 22:23:09 UTC,,,34,100% (4/4),100% (4/4),100% (4/4),Judge: Woman Can File Divorce Papers On Facebook,"According to a report in the New York Daily News, a judge in New York granted a woman the right to serve her husband divorce papers via a private Facebook message because he refuses to provide an address, ruling that â€œThis transmittal shall be repeated by plaintiffâ€™s attorney to defendant once a week for three consecutive weeks or until acknowledged.â€ù",It's somewhat stupid and immature on the husband's part.||,,
3A3KKYU7P2GBZ1OUSROHNONNL8TWMN,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,32ZKVD547FMKCVG3HKS8TVWH74R3BD,AAXYYH9MI3PJM,Approved,Thu Apr 16 15:17:23 PDT 2015,Thu Apr 16 15:19:03 PDT 2015,Thu Apr 16 15:29:03 PDT 2015,2015-04-16 22:33:08 UTC,,,100,100% (15/15),100% (15/15),100% (15/15),Supporters Raise $840K For Antiâ€“Gay Marriage Pizza Joint,"After the owners of an Indiana pizzeria said they wouldnâ€™t be comfortable catering gay weddings, in a statement that prompted threats and led them to close their establishment, supporters started an online fundraiser for their family that has raised more than $840,000.",Amazing. That's some dough! AHAHAHAH|Ironic. It made more money closed for that than anything.|I love shit like this. It's so funny.,,
3A3KKYU7P2GBZ1OUSROHNONNL8TWMN,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,337RC3OW051G1D4YS7N8QTK5AIWLVD,A2AFTOA85C1FM9,Approved,Thu Apr 16 15:13:42 PDT 2015,Thu Apr 16 15:14:58 PDT 2015,Thu Apr 16 15:24:58 PDT 2015,2015-04-16 22:28:08 UTC,,,76,100% (15/15),100% (15/15),100% (15/15),Supporters Raise $840K For Antiâ€“Gay Marriage Pizza Joint,"After the owners of an Indiana pizzeria said they wouldnâ€™t be comfortable catering gay weddings, in a statement that prompted threats and led them to close their establishment, supporters started an online fundraiser for their family that has raised more than $840,000.",That's money wasted?|Any thing for attation!|Why should anyone close business because of their values?,,
3A3KKYU7P2GBZ1OUSROHNONNL8TWMN,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,34T446B1C0D7589CCX6K2H4SMD8C0Z,A1C0H8G0YI15MN,Approved,Thu Apr 16 15:33:20 PDT 2015,Thu Apr 16 15:38:44 PDT 2015,Thu Apr 16 15:48:44 PDT 2015,2015-04-16 22:53:08 UTC,,,324,100% (13/13),100% (13/13),100% (13/13),Supporters Raise $840K For Antiâ€“Gay Marriage Pizza Joint,"After the owners of an Indiana pizzeria said they wouldnâ€™t be comfortable catering gay weddings, in a statement that prompted threats and led them to close their establishment, supporters started an online fundraiser for their family that has raised more than $840,000.","Joy that people have responded to the threats by the left to overcome the income loss at the pizza joint.|Anger that the pizza joint is characterized as anti-gay marriage.|The facts were that a person at the pizza joint was asked if she would cater a gay wedding and she said no.  She would serve gays in the restaurant.  An anti-gay marriage person would do something that is ""anti"".  She just did not want to participate in one.",,
3A3KKYU7P2GBZ1OUSROHNONNL8TWMN,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3E7TUJ2EGCLZ6U33CPKOFYN3AHHD9F,A1VEM1AB7LSY0R,Approved,Thu Apr 16 16:08:38 PDT 2015,Thu Apr 16 16:11:21 PDT 2015,Thu Apr 16 16:21:21 PDT 2015,2015-04-16 23:23:09 UTC,,,163,100% (7/7),100% (7/7),100% (7/7),Supporters Raise $840K For Antiâ€“Gay Marriage Pizza Joint,"After the owners of an Indiana pizzeria said they wouldnâ€™t be comfortable catering gay weddings, in a statement that prompted threats and led them to close their establishment, supporters started an online fundraiser for their family that has raised more than $840,000.",I'm very sad that the gay's would cause their business to shut down.|I am glad that supporters are supporting the family.|It doesn't make sence for non muslim buisness to get kicked out for not allowing gay's while a muslim business can with no penalty.,,
3A3KKYU7P2GBZ1OUSROHNONNL8TWMN,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3EG49X351UBQMH6M5IIOPVZT0YL6XZ,A38DANCR578BY1,Approved,Thu Apr 16 16:01:30 PDT 2015,Thu Apr 16 16:03:46 PDT 2015,Thu Apr 16 16:13:46 PDT 2015,2015-04-16 23:18:08 UTC,,,136,100% (14/14),100% (14/14),100% (14/14),Supporters Raise $840K For Antiâ€“Gay Marriage Pizza Joint,"After the owners of an Indiana pizzeria said they wouldnâ€™t be comfortable catering gay weddings, in a statement that prompted threats and led them to close their establishment, supporters started an online fundraiser for their family that has raised more than $840,000.","Good that people are willing to put money to back their beliefs.|Misleading since gay marriage is not a legal concept in most of the country?|Life is getting expensive, the dollar doesn't fo as far as it used to.",,
3A3KKYU7P2GBZ1OUSROHNONNL8TWMN,3L31T0COU81PDL45Y7WX2AEVSD0QGK,Your Observations and Reaction to News Articles,Read the headline and byline and give us 3 observations or reactions,"news, observation, reaction, opinion",$0.25,Thu Apr 16 15:03:31 PDT 2015,10,BatchId:1905535;,3600,600,Sun Apr 19 15:03:31 PDT 2015,,,3KIBXJ1WD5TARNDJ6VPTG1DIPPWOKD,A2NQT50GA2G1B0,Approved,Thu Apr 16 15:35:34 PDT 2015,Thu Apr 16 15:36:27 PDT 2015,Thu Apr 16 15:46:27 PDT 2015,2015-04-16 22:48:08 UTC,,,53,100% (15/15),100% (15/15),100% (15/15),Supporters Raise $840K For Antiâ€“Gay Marriage Pizza Joint,"After the owners of an Indiana pizzeria said they wouldnâ€™t be comfortable catering gay weddings, in a statement that prompted threats and led them to close their establishment, supporters started an online fundraiser for their family that has raised more than $840,000.",Being gay wrong.|Let people run there business the way they want.|People just want special rights.,,
